,ID,fsID,start,end,salience,fold,Class,class
44,101281-3-0-0,101281,0.341333,4.341333,2,6,3,dog_bark
45,101281-3-0-14,101281,7.341333,11.341333,2,6,3,dog_bark
46,101281-3-0-5,101281,2.841333,6.841333,2,6,3,dog_bark
47,101415-3-0-2,101415,1,5,1,1,3,dog_bark
48,101415-3-0-3,101415,1.5,5.5,1,1,3,dog_bark
49,101415-3-0-8,101415,4,8,1,1,3,dog_bark
50,101848-9-0-0,101848,0,4,1,7,9,street_music
51,101848-9-0-1,101848,0.5,4.5,1,7,9,street_music
52,101848-9-0-2,101848,1,5,1,7,9,street_music
53,101848-9-0-3,101848,1.5,5.5,1,7,9,street_music
54,101848-9-0-8,101848,4,8,1,7,9,street_music
55,101848-9-0-9,101848,4.5,8.5,1,7,9,street_music
56,102102-3-0-0,102102,1.573952,4.673824,2,4,3,dog_bark
57,102104-3-0-0,102104,2.429279,3.241121,2,2,3,dog_bark
58,102105-3-0-0,102105,2.041889,6.041889,2,3,3,dog_bark
59,102106-3-0-0,102106,2.243852,3.884477,2,1,3,dog_bark
60,102305-6-0-0,102305,0,2.61161,1,1,6,gun_shot
61,102547-3-0-2,102547,1,5,1,5,3,dog_bark
62,102547-3-0-7,102547,3.5,7.5,1,5,3,dog_bark
63,102547-3-0-8,102547,4,8,1,5,3,dog_bark
64,102842-3-0-1,102842,0.5,4.5,2,1,3,dog_bark
65,102842-3-1-0,102842,113.061785,117.061785,2,1,3,dog_bark
66,102842-3-1-5,102842,115.561785,119.561785,2,1,3,dog_bark
67,102842-3-1-6,102842,116.061785,120.061785,2,1,3,dog_bark
68,102853-8-0-0,102853,0,4,2,7,8,siren
69,102853-8-0-1,102853,0.5,4.5,2,7,8,siren
70,102853-8-0-2,102853,1,5,2,7,8,siren
71,102853-8-0-3,102853,1.5,5.5,2,7,8,siren
72,102853-8-0-4,102853,2,6,2,7,8,siren
73,102853-8-0-5,102853,2.5,6.5,2,7,8,siren
74,102853-8-0-6,102853,3,7,2,7,8,siren
75,102853-8-1-0,102853,27.214044,31.214044,2,7,8,siren
76,102858-5-0-0,102858,0,4,1,2,5,engine_idling
77,102858-5-0-1,102858,0.5,4.5,1,2,5,engine_idling
78,102871-8-0-0,102871,0,4,1,2,8,siren
79,102871-8-0-1,102871,0.5,4.5,1,2,8,siren
80,102871-8-0-10,102871,5,9,1,2,8,siren
81,102871-8-0-11,102871,5.5,9.5,1,2,8,siren
82,102871-8-0-12,102871,6,10,1,2,8,siren
83,102871-8-0-13,102871,6.5,10.5,1,2,8,siren
84,102871-8-0-14,102871,7,11,1,2,8,siren
85,102871-8-0-15,102871,7.5,11.5,1,2,8,siren
86,102871-8-0-2,102871,1,5,1,2,8,siren
87,102871-8-0-3,102871,1.5,5.5,1,2,8,siren
88,102871-8-0-4,102871,2,6,1,2,8,siren
89,102871-8-0-5,102871,2.5,6.5,1,2,8,siren
90,102871-8-0-6,102871,3,7,1,2,8,siren
91,102871-8-0-7,102871,3.5,7.5,1,2,8,siren
92,102871-8-0-8,102871,4,8,1,2,8,siren
93,102871-8-0-9,102871,4.5,8.5,1,2,8,siren
94,103074-7-0-0,103074,3.341279,7.341279,1,1,7,jackhammer
95,103074-7-0-1,103074,3.841279,7.841279,1,1,7,jackhammer
96,103074-7-0-2,103074,4.341279,8.341279,1,1,7,jackhammer
97,103074-7-1-0,103074,22.517317,26.517317,1,1,7,jackhammer
98,103074-7-1-1,103074,23.017317,27.017317,1,1,7,jackhammer
99,103074-7-1-2,103074,23.517317,27.517317,1,1,7,jackhammer
100,103074-7-1-3,103074,24.017317,28.017317,1,1,7,jackhammer
101,103074-7-1-4,103074,24.517317,28.517317,1,1,7,jackhammer
102,103074-7-1-5,103074,25.017317,29.017317,1,1,7,jackhammer
103,103074-7-1-6,103074,25.517317,29.517317,1,1,7,jackhammer
104,103074-7-2-0,103074,42.347083,43.727176,1,1,7,jackhammer
105,103074-7-3-0,103074,46.632637,50.632637,1,1,7,jackhammer
106,103074-7-3-1,103074,47.132637,51.132637,1,1,7,jackhammer
107,103074-7-3-2,103074,47.632637,51.632637,1,1,7,jackhammer
108,103074-7-3-3,103074,48.132637,52.132637,1,1,7,jackhammer
109,103074-7-4-0,103074,60.651482,64.651482,1,1,7,jackhammer
110,103074-7-4-1,103074,61.151482,65.151482,1,1,7,jackhammer
111,103074-7-4-2,103074,61.651482,65.651482,1,1,7,jackhammer
112,103074-7-4-3,103074,62.151482,66.151482,1,1,7,jackhammer
113,103074-7-4-4,103074,62.651482,66.651482,1,1,7,jackhammer
114,103074-7-4-5,103074,63.151482,67.151482,1,1,7,jackhammer
115,103074-7-4-6,103074,63.651482,67.651482,1,1,7,jackhammer
116,103076-3-0-0,103076,0,2.527184,1,8,3,dog_bark
117,103076-3-1-0,103076,6.788349,7.756796,1,8,3,dog_bark
118,103076-3-2-0,103076,10.265534,10.717475,1,8,3,dog_bark
119,103199-4-0-0,103199,0,4,1,3,4,drilling
120,103199-4-0-3,103199,1.5,5.5,1,3,4,drilling
121,103199-4-0-4,103199,2,6,1,3,4,drilling
122,103199-4-0-5,103199,2.5,6.5,1,3,4,drilling
123,103199-4-0-6,103199,3,7,1,3,4,drilling
124,103199-4-1-0,103199,16.097136,17.617205,2,3,4,drilling
125,103199-4-2-0,103199,17.617205,21.617205,1,3,4,drilling
126,103199-4-2-1,103199,18.117205,22.117205,1,3,4,drilling
127,103199-4-2-10,103199,22.617205,26.617205,1,3,4,drilling
128,103199-4-2-11,103199,23.117205,27.117205,1,3,4,drilling
129,103199-4-2-2,103199,18.617205,22.617205,1,3,4,drilling
130,103199-4-2-3,103199,19.117205,23.117205,1,3,4,drilling
131,103199-4-2-4,103199,19.617205,23.617205,1,3,4,drilling
132,103199-4-2-5,103199,20.117205,24.117205,1,3,4,drilling
133,103199-4-2-6,103199,20.617205,24.617205,1,3,4,drilling
134,103199-4-2-7,103199,21.117205,25.117205,1,3,4,drilling
135,103199-4-2-8,103199,21.617205,25.617205,1,3,4,drilling
136,103199-4-2-9,103199,22.117205,26.117205,1,3,4,drilling
137,103199-4-4-0,103199,46.186699,48.720146,1,3,4,drilling
138,103199-4-6-0,103199,50.591,51.916188,1,3,4,drilling
139,103199-4-7-2,103199,52.916188,56.916188,2,3,4,drilling
140,103258-5-0-0,103258,0,4,1,1,5,engine_idling
141,103258-5-0-1,103258,0.5,4.5,1,1,5,engine_idling
142,103258-5-0-10,103258,5,9,1,1,5,engine_idling
143,103258-5-0-11,103258,5.5,9.5,1,1,5,engine_idling
144,103258-5-0-12,103258,6,10,1,1,5,engine_idling
145,103258-5-0-13,103258,6.5,10.5,1,1,5,engine_idling
146,103258-5-0-14,103258,7,11,1,1,5,engine_idling
147,103258-5-0-15,103258,7.5,11.5,1,1,5,engine_idling
148,103258-5-0-16,103258,8,12,1,1,5,engine_idling
149,103258-5-0-17,103258,8.5,12.5,1,1,5,engine_idling
150,103258-5-0-18,103258,9,13,1,1,5,engine_idling
151,103258-5-0-19,103258,9.5,13.5,1,1,5,engine_idling
152,103258-5-0-2,103258,1,5,1,1,5,engine_idling
153,103258-5-0-3,103258,1.5,5.5,1,1,5,engine_idling
154,103258-5-0-4,103258,2,6,1,1,5,engine_idling
155,103258-5-0-5,103258,2.5,6.5,1,1,5,engine_idling
156,103258-5-0-6,103258,3,7,1,1,5,engine_idling
157,103258-5-0-7,103258,3.5,7.5,1,1,5,engine_idling
158,103258-5-0-8,103258,4,8,1,1,5,engine_idling
159,103258-5-0-9,103258,4.5,8.5,1,1,5,engine_idling
160,103357-4-0-0,103357,0.305227,4.305227,1,3,4,drilling
161,103357-4-0-1,103357,0.805227,4.805227,1,3,4,drilling
162,104327-2-0-15,104327,7.5,11.5,2,6,2,children_playing
163,104327-2-0-19,104327,9.5,13.5,2,6,2,children_playing
164,104327-2-0-26,104327,13,17,2,6,2,children_playing
165,104327-2-0-28,104327,14,18,2,6,2,children_playing
166,104327-2-0-3,104327,1.5,5.5,2,6,2,children_playing
167,104327-2-0-30,104327,15,19,2,6,2,children_playing
168,104327-2-0-34,104327,17,21,2,6,2,children_playing
169,104327-2-0-4,104327,2,6,2,6,2,children_playing
170,104421-2-0-1,104421,0.5,4.5,2,5,2,children_playing
171,104421-2-0-15,104421,7.5,11.5,2,5,2,children_playing
172,104421-2-0-20,104421,10,14,2,5,2,children_playing
173,104421-2-0-29,104421,14.5,18.5,2,5,2,children_playing
174,104421-2-0-3,104421,1.5,5.5,2,5,2,children_playing
175,104421-2-0-5,104421,2.5,6.5,2,5,2,children_playing
176,104421-2-0-7,104421,3.5,7.5,2,5,2,children_playing
177,104421-2-1-3,104421,91.652072,95.652072,1,5,2,children_playing
178,104625-4-0-15,104625,13.751409,17.751409,1,7,4,drilling
179,104625-4-0-21,104625,16.751409,20.751409,1,7,4,drilling
180,104625-4-0-27,104625,19.751409,23.751409,1,7,4,drilling
181,104625-4-0-29,104625,20.751409,24.751409,1,7,4,drilling
182,104625-4-0-3,104625,7.751409,11.751409,1,7,4,drilling
183,104625-4-0-35,104625,23.751409,27.751409,1,7,4,drilling
184,104625-4-0-40,104625,26.251409,30.251409,1,7,4,drilling
185,104625-4-0-41,104625,26.751409,30.751409,1,7,4,drilling
186,104625-4-0-45,104625,28.751409,32.751409,1,7,4,drilling
187,104625-4-0-48,104625,30.251409,34.251409,1,7,4,drilling
188,104625-4-0-51,104625,31.751409,35.751409,1,7,4,drilling
189,104625-4-0-52,104625,32.251409,36.251409,1,7,4,drilling
190,104625-4-0-53,104625,32.751409,36.751409,1,7,4,drilling
191,104625-4-0-55,104625,33.751409,37.751409,1,7,4,drilling
192,104625-4-0-57,104625,34.751409,38.751409,1,7,4,drilling
193,104625-4-0-66,104625,39.251409,43.251409,1,7,4,drilling
194,104625-4-1-20,104625,156.589168,160.589168,1,7,4,drilling
195,104625-4-1-8,104625,150.589168,154.589168,1,7,4,drilling
196,104817-4-0-0,104817,0,4,1,2,4,drilling
197,104817-4-0-1,104817,0.5,4.5,1,2,4,drilling
198,104817-4-0-10,104817,5,9,1,2,4,drilling
199,104817-4-0-11,104817,5.5,9.5,1,2,4,drilling
200,104817-4-0-2,104817,1,5,1,2,4,drilling
201,104817-4-0-3,104817,1.5,5.5,1,2,4,drilling
202,104817-4-0-4,104817,2,6,1,2,4,drilling
203,104817-4-0-5,104817,2.5,6.5,1,2,4,drilling
204,104817-4-0-6,104817,3,7,1,2,4,drilling
205,104817-4-0-7,104817,3.5,7.5,1,2,4,drilling
206,104817-4-0-8,104817,4,8,1,2,4,drilling
207,104817-4-0-9,104817,4.5,8.5,1,2,4,drilling
208,104998-7-0-5,104998,18.872926,22.872926,1,5,7,jackhammer
209,104998-7-10-1,104998,260.47552,264.47552,1,5,7,jackhammer
210,104998-7-10-10,104998,264.97552,268.97552,1,5,7,jackhammer
211,104998-7-10-13,104998,266.47552,270.47552,1,5,7,jackhammer
212,104998-7-10-15,104998,267.47552,271.47552,1,5,7,jackhammer
213,104998-7-10-8,104998,263.97552,267.97552,1,5,7,jackhammer
214,104998-7-10-9,104998,264.47552,268.47552,1,5,7,jackhammer
215,104998-7-11-0,104998,297.367744,301.367744,1,5,7,jackhammer
216,104998-7-11-2,104998,298.367744,302.367744,1,5,7,jackhammer
217,104998-7-12-2,104998,322.263366,326.263366,1,5,7,jackhammer
218,104998-7-14-1,104998,352.960429,356.960429,1,5,7,jackhammer
219,104998-7-14-5,104998,354.960429,358.960429,1,5,7,jackhammer
220,104998-7-14-6,104998,355.460429,359.460429,1,5,7,jackhammer
221,104998-7-15-1,104998,380.838655,384.838655,1,5,7,jackhammer
222,104998-7-15-3,104998,381.838655,385.838655,1,5,7,jackhammer
223,104998-7-15-5,104998,382.838655,386.838655,1,5,7,jackhammer
224,104998-7-15-9,104998,384.838655,388.838655,1,5,7,jackhammer
225,104998-7-16-0,104998,422.155994,426.155994,1,5,7,jackhammer
226,104998-7-16-10,104998,427.155994,431.155994,1,5,7,jackhammer
227,104998-7-16-11,104998,427.655994,431.655994,1,5,7,jackhammer
228,104998-7-16-5,104998,424.655994,428.655994,1,5,7,jackhammer
229,104998-7-16-6,104998,425.155994,429.155994,1,5,7,jackhammer
230,104998-7-16-7,104998,425.655994,429.655994,1,5,7,jackhammer
231,104998-7-17-0,104998,456.008125,460.008125,1,5,7,jackhammer
232,104998-7-17-1,104998,456.508125,460.508125,1,5,7,jackhammer
233,104998-7-17-12,104998,462.008125,466.008125,1,5,7,jackhammer
234,104998-7-17-14,104998,463.008125,467.008125,1,5,7,jackhammer
235,104998-7-17-4,104998,458.008125,462.008125,1,5,7,jackhammer
236,104998-7-17-7,104998,459.508125,463.508125,1,5,7,jackhammer
237,104998-7-17-8,104998,460.008125,464.008125,1,5,7,jackhammer
238,104998-7-18-12,104998,501.391651,505.391651,1,5,7,jackhammer
239,104998-7-18-13,104998,501.891651,505.891651,1,5,7,jackhammer
240,104998-7-18-3,104998,496.891651,500.891651,1,5,7,jackhammer
241,104998-7-18-9,104998,499.891651,503.891651,1,5,7,jackhammer
242,104998-7-19-0,104998,530.128805,534.128805,1,5,7,jackhammer
243,104998-7-19-3,104998,531.628805,535.628805,1,5,7,jackhammer
244,104998-7-19-6,104998,533.128805,537.128805,1,5,7,jackhammer
245,104998-7-19-7,104998,533.628805,537.628805,1,5,7,jackhammer
246,104998-7-19-8,104998,534.128805,538.128805,1,5,7,jackhammer
247,104998-7-19-9,104998,534.628805,538.628805,1,5,7,jackhammer
248,104998-7-2-4,104998,62.402823,66.402823,1,5,7,jackhammer
249,104998-7-2-5,104998,62.902823,66.902823,1,5,7,jackhammer
250,104998-7-2-6,104998,63.402823,67.402823,1,5,7,jackhammer
251,104998-7-3-1,104998,84.134678,88.134678,1,5,7,jackhammer
252,104998-7-7-0,104998,141.824943,145.824943,1,5,7,jackhammer
253,104998-7-7-1,104998,142.324943,146.324943,1,5,7,jackhammer
254,104998-7-7-4,104998,143.824943,147.824943,1,5,7,jackhammer
255,104998-7-7-7,104998,145.324943,149.324943,1,5,7,jackhammer
256,104998-7-7-9,104998,146.324943,150.324943,1,5,7,jackhammer
257,104998-7-8-13,104998,178.194471,182.194471,1,5,7,jackhammer
258,104998-7-8-14,104998,178.694471,182.694471,1,5,7,jackhammer
259,104998-7-8-15,104998,179.194471,183.194471,1,5,7,jackhammer
260,104998-7-8-17,104998,180.194471,184.194471,1,5,7,jackhammer
261,104998-7-8-4,104998,173.694471,177.694471,1,5,7,jackhammer
262,104998-7-8-6,104998,174.694471,178.694471,1,5,7,jackhammer
263,104998-7-8-7,104998,175.194471,179.194471,1,5,7,jackhammer
264,104998-7-9-0,104998,221.698273,225.698273,1,5,7,jackhammer
265,104998-7-9-13,104998,228.198273,232.198273,1,5,7,jackhammer
266,104998-7-9-9,104998,226.198273,230.198273,1,5,7,jackhammer
267,105289-8-0-0,105289,26.31554,30.31554,2,7,8,siren
268,105289-8-0-1,105289,26.81554,30.81554,2,7,8,siren
269,105289-8-0-2,105289,27.31554,31.31554,2,7,8,siren
270,105289-8-0-3,105289,27.81554,31.81554,2,7,8,siren
271,105289-8-0-4,105289,28.31554,32.31554,2,7,8,siren
272,105289-8-0-5,105289,28.81554,32.81554,2,7,8,siren
273,105289-8-1-0,105289,40.426771,44.426771,1,7,8,siren
274,105289-8-1-1,105289,40.926771,44.926771,1,7,8,siren
275,105289-8-1-2,105289,41.426771,45.426771,1,7,8,siren
276,105289-8-1-3,105289,41.926771,45.926771,1,7,8,siren
277,105289-8-1-4,105289,42.426771,46.426771,1,7,8,siren
278,105289-8-2-0,105289,53.012464,57.012464,2,7,8,siren
279,105289-8-2-1,105289,53.512464,57.512464,2,7,8,siren
280,105289-8-2-2,105289,54.012464,58.012464,2,7,8,siren
281,105289-8-2-3,105289,54.512464,58.512464,2,7,8,siren
282,105289-8-2-4,105289,55.012464,59.012464,2,7,8,siren
283,105289-8-2-5,105289,55.512464,59.512464,2,7,8,siren
284,105289-8-2-6,105289,56.012464,60.012464,2,7,8,siren
285,105289-8-2-7,105289,56.512464,60.512464,2,7,8,siren
286,105319-3-0-22,105319,11,15,2,6,3,dog_bark
287,105319-3-0-29,105319,14.5,18.5,2,6,3,dog_bark
288,105319-3-0-39,105319,19.5,23.5,2,6,3,dog_bark
289,105415-2-0-1,105415,0.5,4.5,1,1,2,children_playing
290,105415-2-0-15,105415,7.5,11.5,1,1,2,children_playing
291,105415-2-0-19,105415,9.5,13.5,1,1,2,children_playing
292,105415-2-0-21,105415,10.5,14.5,1,1,2,children_playing
293,105415-2-0-24,105415,12,16,1,1,2,children_playing
294,105415-2-0-4,105415,2,6,1,1,2,children_playing
295,105415-2-0-6,105415,3,7,1,1,2,children_playing
296,105415-2-0-8,105415,4,8,1,1,2,children_playing
297,105425-9-0-1,105425,0.5,4.5,1,5,9,street_music
298,105425-9-0-10,105425,5,9,1,5,9,street_music
299,105425-9-0-12,105425,6,10,1,5,9,street_music
300,105425-9-0-13,105425,6.5,10.5,1,5,9,street_music
301,105425-9-0-14,105425,7,11,1,5,9,street_music
302,105425-9-0-23,105425,11.5,15.5,1,5,9,street_music
303,106015-5-0-0,106015,3.484984,7.484984,1,2,5,engine_idling
304,106015-5-0-1,106015,3.984984,7.984984,1,2,5,engine_idling
305,106015-5-0-10,106015,8.484984,12.484984,1,2,5,engine_idling
306,106015-5-0-11,106015,8.984984,12.984984,1,2,5,engine_idling
307,106015-5-0-12,106015,9.484984,13.484984,1,2,5,engine_idling
308,106015-5-0-13,106015,9.984984,13.984984,1,2,5,engine_idling
309,106015-5-0-14,106015,10.484984,14.484984,1,2,5,engine_idling
310,106015-5-0-15,106015,10.984984,14.984984,1,2,5,engine_idling
311,106015-5-0-16,106015,11.484984,15.484984,1,2,5,engine_idling
312,106015-5-0-17,106015,11.984984,15.984984,1,2,5,engine_idling
313,106015-5-0-18,106015,12.484984,16.484984,1,2,5,engine_idling
314,106015-5-0-19,106015,12.984984,16.984984,1,2,5,engine_idling
315,106015-5-0-2,106015,4.484984,8.484984,1,2,5,engine_idling
316,106015-5-0-20,106015,13.484984,17.484984,1,2,5,engine_idling
317,106015-5-0-3,106015,4.984984,8.984984,1,2,5,engine_idling
318,106015-5-0-4,106015,5.484984,9.484984,1,2,5,engine_idling
319,106015-5-0-5,106015,5.984984,9.984984,1,2,5,engine_idling
320,106015-5-0-6,106015,6.484984,10.484984,1,2,5,engine_idling
321,106015-5-0-7,106015,6.984984,10.984984,1,2,5,engine_idling
322,106015-5-0-8,106015,7.484984,11.484984,1,2,5,engine_idling
323,106015-5-0-9,106015,7.984984,11.984984,1,2,5,engine_idling
324,106486-5-0-0,106486,0,4,1,6,5,engine_idling
325,106486-5-0-1,106486,0.5,4.5,1,6,5,engine_idling
326,106486-5-0-2,106486,1,5,1,6,5,engine_idling
327,106487-5-0-0,106487,0,4,1,5,5,engine_idling
328,106487-5-0-1,106487,0.5,4.5,1,5,5,engine_idling
329,106487-5-0-2,106487,1,5,1,5,5,engine_idling
330,106905-5-0-0,106905,55.008446,59.008446,2,8,5,engine_idling
331,106905-5-0-1,106905,55.508446,59.508446,2,8,5,engine_idling
332,106905-5-0-2,106905,56.008446,60.008446,2,8,5,engine_idling
333,106905-8-0-0,106905,43.636489,47.636489,2,1,8,siren
334,106905-8-0-1,106905,44.136489,48.136489,2,1,8,siren
335,106905-8-0-2,106905,44.636489,48.636489,2,1,8,siren
336,106905-8-0-3,106905,45.136489,49.136489,2,1,8,siren
337,107090-1-0-0,107090,25.500254,26.099176,2,8,1,car_horn
338,107090-1-1-0,107090,29.715744,30.54502,2,8,1,car_horn
339,107190-3-0-0,107190,0,0.794875,1,8,3,dog_bark
340,107228-5-0-0,107228,3.134753,7.134753,1,3,5,engine_idling
341,107228-5-0-1,107228,3.634753,7.634753,1,3,5,engine_idling
342,107228-5-0-2,107228,4.134753,8.134753,1,3,5,engine_idling
343,107228-5-0-3,107228,4.634753,8.634753,1,3,5,engine_idling
344,107228-5-0-4,107228,5.134753,9.134753,1,3,5,engine_idling
345,107228-5-0-5,107228,5.634753,9.634753,1,3,5,engine_idling
346,107228-5-0-6,107228,6.134753,10.134753,1,3,5,engine_idling
347,107228-5-0-7,107228,6.634753,10.634753,1,3,5,engine_idling
348,107357-8-0-0,107357,0,4,2,7,8,siren
349,107357-8-0-1,107357,0.5,4.5,2,7,8,siren
350,107357-8-0-2,107357,1,5,2,7,8,siren
351,107357-8-0-3,107357,1.5,5.5,2,7,8,siren
352,107357-8-0-4,107357,2,6,2,7,8,siren
353,107357-8-0-5,107357,2.5,6.5,2,7,8,siren
354,107357-8-0-6,107357,3,7,2,7,8,siren
355,107357-8-0-7,107357,3.5,7.5,2,7,8,siren
356,107357-8-0-8,107357,4,8,2,7,8,siren
357,107357-8-1-0,107357,159.017232,163.017232,2,7,8,siren
358,107357-8-1-1,107357,159.517232,163.517232,2,7,8,siren
359,107357-8-1-10,107357,164.017232,168.017232,2,7,8,siren
360,107357-8-1-11,107357,164.517232,168.517232,2,7,8,siren
361,107357-8-1-12,107357,165.017232,169.017232,2,7,8,siren
362,107357-8-1-13,107357,165.517232,169.517232,2,7,8,siren
363,107357-8-1-14,107357,166.017232,170.017232,2,7,8,siren
364,107357-8-1-15,107357,166.517232,170.517232,2,7,8,siren
365,107357-8-1-16,107357,167.017232,171.017232,2,7,8,siren
366,107357-8-1-17,107357,167.517232,171.517232,2,7,8,siren
367,107357-8-1-18,107357,168.017232,172.017232,2,7,8,siren
368,107357-8-1-2,107357,160.017232,164.017232,2,7,8,siren
369,107357-8-1-3,107357,160.517232,164.517232,2,7,8,siren
370,107357-8-1-4,107357,161.017232,165.017232,2,7,8,siren
371,107357-8-1-5,107357,161.517232,165.517232,2,7,8,siren
372,107357-8-1-6,107357,162.017232,166.017232,2,7,8,siren
373,107357-8-1-7,107357,162.517232,166.517232,2,7,8,siren
374,107357-8-1-8,107357,163.017232,167.017232,2,7,8,siren
375,107357-8-1-9,107357,163.517232,167.517232,2,7,8,siren
376,107653-9-0-12,107653,6,10,2,4,9,street_music
377,107653-9-0-14,107653,7,11,2,4,9,street_music
378,107653-9-0-18,107653,9,13,2,4,9,street_music
379,107653-9-0-3,107653,1.5,5.5,2,4,9,street_music
380,107653-9-0-5,107653,2.5,6.5,2,4,9,street_music
381,107653-9-0-7,107653,3.5,7.5,2,4,9,street_music
382,107842-4-0-0,107842,1.157328,5.157328,1,6,4,drilling
383,107842-4-0-1,107842,1.657328,5.657328,1,6,4,drilling
384,107842-4-0-2,107842,2.157328,6.157328,1,6,4,drilling
385,107842-4-1-0,107842,11.634196,13.385417,1,6,4,drilling
386,107842-4-2-0,107842,13.811801,17.811801,1,6,4,drilling
387,107842-4-2-1,107842,14.311801,18.311801,1,6,4,drilling
388,107842-4-2-2,107842,14.811801,18.811801,1,6,4,drilling
389,107842-4-2-3,107842,15.311801,19.311801,1,6,4,drilling
390,107842-4-2-4,107842,15.811801,19.811801,1,6,4,drilling
391,107842-4-3-0,107842,26.085574,27.89771,1,6,4,drilling
392,108041-9-0-11,108041,5.5,9.5,1,1,9,street_music
393,108041-9-0-2,108041,1,5,1,1,9,street_music
394,108041-9-0-4,108041,2,6,1,1,9,street_music
395,108041-9-0-5,108041,2.5,6.5,1,1,9,street_music
396,108041-9-0-6,108041,3,7,1,1,9,street_music
397,108041-9-0-7,108041,3.5,7.5,1,1,9,street_music
398,108041-9-0-9,108041,4.5,8.5,1,1,9,street_music
399,108187-3-2-0,108187,15.751454,16.246588,2,2,3,dog_bark
400,108187-3-3-0,108187,18.010504,19.093609,2,2,3,dog_bark
401,108187-3-4-0,108187,24.911435,26.304,2,2,3,dog_bark
402,108187-3-6-0,108187,31.5648,33.266824,2,2,3,dog_bark
403,108357-9-0-15,108357,7.5,11.5,1,5,9,street_music
404,108357-9-0-2,108357,1,5,1,5,9,street_music
405,108357-9-0-27,108357,13.5,17.5,1,5,9,street_music
406,108357-9-0-30,108357,15,19,1,5,9,street_music
407,108357-9-0-44,108357,22,26,1,5,9,street_music
408,108357-9-0-49,108357,24.5,28.5,1,5,9,street_music
409,108362-2-0-11,108362,5.5,9.5,1,1,2,children_playing
410,108362-2-0-12,108362,6,10,1,1,2,children_playing
411,108362-2-0-21,108362,10.5,14.5,1,1,2,children_playing
412,108362-2-0-23,108362,11.5,15.5,1,1,2,children_playing
413,108362-2-0-29,108362,14.5,18.5,1,1,2,children_playing
414,108362-2-0-30,108362,15,19,1,1,2,children_playing
415,108362-2-0-7,108362,3.5,7.5,1,1,2,children_playing
416,108362-2-0-9,108362,4.5,8.5,1,1,2,children_playing
417,108638-9-0-0,108638,0,4,1,6,9,street_music
418,108638-9-0-1,108638,0.5,4.5,1,6,9,street_music
419,108638-9-0-2,108638,1,5,1,6,9,street_music
420,108638-9-0-4,108638,2,6,1,6,9,street_music
